FLUORURO SODICO;SODIUM FLUORIDE
FORMULA COMPLETA ESPECIAL NUTRICION ENTERAL; COMPLETE SPECIAL FORMULA FOR ENTERAL NUTRITION
MODULO NUTRICIONAL HIDROCARBONADO; HYDROCARBONATE NUTRITIONAL MODULE
MODULO NUTRICIONAL DE TRIGLICERIDOS LCT (CADENA LARGA); LCT (LONG CHAIN) TRIGLYCERIDE NUTRITIONAL MODULE
MODULO NUTRICIONAL DE TRIGLICERIDOS MCT (CADENA MEDIA); MCT (MEDIUM CHAIN) TRIGLYCERIDE NUTRITIONAL MODULE
MODULO NUTRICIONAL HIDROCARBONADO Y PROTEICO; HYDROCARBONATE AND PROTEIN NUTRITIONAL MODULE
MODULO NUTRICIONAL HIDROCARBONADO Y LIPIDICO; HYDROCARBONATE AND LIPID NUTRITIONAL MODULE
MODULO NUTRICIONAL DE PEPTIDOS; PEPTIDE NUTRITIONAL MODULE
MODULO NUTRICIONAL DE PROTEINA ENTERA;WHOLE PROTEIN NUTRITIONAL MODULE
MODULO NUTRICIONAL DE AMINOACIDOS; AMINO ACID NUTRITIONAL MODULE
MODULO NUTRICIONAL VITAMINAS Y MINERALES; NUTRITIONAL MODULE VITAMINS AND MINERALS
MODULO NUTRICIONAL ESPESANTE; NUTRITIONAL THICKENER MODULE
PROTECTORES DE LA PIEL NO MEDICAMENTOSOS; NON-DRUGGED SKIN PROTECTORS
PRODUCTOS ANTIDUREZAS DE LOS PIES; ANTI-HARDNESS PRODUCTS FOR THE FEET
AGUA BIDESTILADA; Double distilled water
SODIO CLORURO (DISOLVENTE/DILUYENTE); SODIUM CHLORIDE (SOLVENT/THINNER)
AGUA ESTERIL/APIROGENA PARA INYECCION; STERILE/FIREPROOF WATER FOR INJECTION
DISOLVENTE DE PROTIRELINA; PROTYRELIN SOLVENT
ACETICO ACIDO (FIJADOR); ACETIC ACID (FIXATIVE)
PARAFINA LIQUIDA; LIQUID PARAFFIN
DISOLVENTE FENOLADO; PHENOLATED SOLVENT
SOLVENTES Y AGENTES DILUYENTES, INCLUIDOS SOLUCIONES IRRIGAC NE; SOLVENTS AND THINNING AGENTS, INCLUDING IRRIGATION SOLUTIONS
COLECTOR BOLSA RECOGIDA ORINA FEMENINO; FEMALE URINE COLLECTION BAG COLLECTOR
ABSORBENTE INCONTINENCIA ORINA (INDISTINTO); ABSORBENT URINARY INCONTINENCE (INDISTINCT)
ABSORBENTE INCONTINENCIA ORINA DIA; ABSORBENT URINARY INCONTINENCE DAY
ABSORBENTE INCONTINENCIA ORINA NOCHE; ABSORBENT URINARY INCONTINENCE NIGHT
ABSORBENTE INCONTINENCIA ORINA SUPER-NOCHE; ABSORBENT URINARY INCONTINENCE SUPER-NIGHT
ABSORBENTE INCONTINENCIA DIA RECTANGULAR; ABSORBENT INCONTINENCE RECTANGULAR DAY
ABSORBENTE INCONTINENCIA DIA ANATOMICO; ANATOMICAL DAY INCONTINENCE ABSORBENT
ABSORBENTE INCONTINENCIA DIA ELASTICO TALLA PEQUEÃ¯Â¿Â½A; ABSORBENT INCONTINENCE DAY ELASTIC SMALL SIZE
ABSORBENTE INCONTINENCIA DIA ELASTICO TALLA MEDIANA; ABSORBENT INCONTINENCE DAY ELASTIC MEDIUM SIZE
ABSORBENTE INCONTINENCIA DIA ELASTICO TALLA GRANDE; ABSORBENT INCONTINENCE DAY ELASTIC LARGE SIZE
ABSORBENTE INCONTINENCIA NOCHE RECTANGULAR; ABSORBENT INCONTINENCE NIGHT RECTANGULAR
ABSORBENTE INCONTINENCIA NOCHE ANATOMICO;ABSORBENT INCONTINENCE NIGHT ANATOMICAL
ABSORBENTE INCONTINENCIA NOCHE ELASTICO TALLA PEQUEÃ¯Â¿Â½A; ELASTIC NIGHT INCONTINENCE ABSORBENT SMALL SIZE
ABSORBENTE INCONTINENCIA NOCHE ELASTICO TALLA MEDIANA; ELASTIC NIGHT INCONTINENCE ABSORBENT MEDIUM SIZE
ABSORBENTE INCONTINENCIA NOCHE ELASTICO TALLA GRANDE; ABSORBENT ELASTIC INCONTINENCE NIGHT PANTS LARGE SIZE
ABSORBENTE INCONTINENCIA SUPER-NOCHE RECTANGULAR; SUPER-NIGHT RECTANGULAR INCONTINENCE ABSORBENT
ABSORBENTE INCONTINENCIA SUPER-NOCHE ANATOMICO; ABSORBENT INCONTINENCE SUPER-NIGHT ANATOMIC
ABSORBENTE INCONTINENCIA SUPER-NOCHE ELASTICO TALLA PEQUEÃ¯Â¿Â½A; SUPER-NIGHT ELASTIC INCONTINENCE ABSORBENT SMALL SIZE
ABSORBENTE INCONTINENCIA SUPER-NOCHE ELASTICO TALLA MEDIANA; SUPER-NIGHT ELASTIC INCONTINENCE ABSORBENT MEDIUM SIZE
ABSORBENTE INCONTINENCIA SUPER-NOCHE ELASTICO TALLA GRANDE; ABSORBENT INCONTINENCE SUPER-NIGHT ELASTIC LARGE SIZE
PROTECTOR DE LA PIEL EN ESTOMAS; SKIN PROTECTOR IN STOMATA
TALCO INFANTIL; BABY POWDER
TOALLITAS HIGIENICAS; HYGIENIC WIPES
ACEITE DE ALMENDRAS (MASAJES); ALMOND OIL (MASSAGES)
PROTECTORES SOLARES; SUNSCREENS
PRODUCTOS PARA LA HIGIENE ANAL; ANAL HYGIENE PRODUCTS
PRODUCTOS HIGIENE ACCION PEDICULICIDA; HYGIENE PRODUCTS WITH PEDICULICIDAL ACTION
PRODUCTOS ANTITRANSPIRANTES; ANTIPERSPIRANT PRODUCTS
CHAMPUS NO MEDICAMENTOSOS; NON-MEDICATED SHAMPOOS
GELES DE BAÃ¯Â¿Â½O; BATH GELS
PRODUCTOS CUIDADO PERSONAL COSMETICO; PERSONAL CARE COSMETICS PRODUCTS
CREMAS HIDRATANTES; MOISTURIZING CREAMS
OTRAS CREMAS COSMETICAS; OTHER COSMETIC CREAMS
CREMAS DE MANOS; HAND CREAMS
CREMAS DE LABIOS; LIP CREAMS
CREMAS/EMULSIONES PIEL INFANTIL;CREAMS/EMULSIONS FOR CHILDREN'S SKIN
PRODUCTOS PARA LA HIGIENE INTIMA FEMENINA; PRODUCTS FOR FEMININE INTIMATE HYGIENE
COSMETICOS PARA LOS OJOS; EYE COSMETICS
PRODUCTOS COSMETICOS PARA LOS PIES; COSMETIC PRODUCTS FOR THE FEET
AGUA ESTERIL PARA LAVADO DE HERIDAS; STERILE WATER FOR WOUND WASHING
SOLUCION ESTERIL PARA LAVADO DE HERIDAS; STERILE SOLUTION FOR WOUND WASHING
JABONES DESINFECTANTES; DISINFECTANT SOAPS
IODURO POTASICO; POTASSIUM IODIDE
HIDRATANTE VAGINAL; Vaginal Moisturizer
OTROS DISPOSITIVOS/UTENSILIOS; OTHER DEVICES/UTENSILS
DENTRIFICO; TOOTHPASTE
CEPILLO DENTAL; TOOTHBRUSH
PROTECTOR/EMPAPADOR DE CAMA; BED PROTECTOR/UNDERTAKER
HUMIDIFICADOR; HUMIDIFIER
LUBRICANTE DE CATETER; CATHETER LUBRICANT
DESINFECTANTE/ANTICOAGULANTE DE CATETER; CATHETER DISINFECTANT/ANTICOAGULANT
DIMETIL SULFOXIDO (CONSERVACION ORGANOS); DIMETHYL SULFOXIDE (ORGAN PRESERVATION)
SOLUCION CONSERVACION EN FRIO DE ORGANOS; COLD STORAGE SOLUTION FOR ORGANS
LIQUIDOS PARA LENTILLAS; CONTACT LENS SOLUTIONS
MEDIAS ELASTICAS TERAPEUTICAS; THERAPEUTIC ELASTIC STOCKINGS
CAMARAS PARA INHALACION; INHALATION CHAMBERS
PRODUCTOS PARA PROTESIS DENTALES; PRODUCTS FOR DENTAL PROSTHESES
BENZALCONIO CLORURO (DESINFECTANTE COLIRIO); BENZALKONIUM CHLORIDE (DISINFECTANT EYE DROPS)
PLACEBO; PLACEBO
TETINAS PARA BIBERON; BOTTLE NIPPLES
PROTECTORES SOLARES; SUNSCREENS
FRUCTOSA (REACTIVO); FRUCTOSE (REAGENT)
SODIO HIDROXIDO; SODIUM HYDROXIDE
CITRICO ACIDO; CITRIC ACID
SACAROSA; SACCHAROSE
PROPILENGLICOL; PROPYLENE GLYCOL
SODIO CITRATO TRIBASICO; SODIUM CITRATE TRIBASIC
LAURIL SULFATO SODICO; SODIUM LAURYL SULFATE
GLICERINA (REACTIVO); GLYCERIN (REAGENT)
SODIO CITRATO;SODIUM CITRATE
LANOLINA AHIDRA; HYDROUS LANOLIN
ETER ETILICO; ETHYL ETHER
ACIDO ACETICO GLACIAL; GLACIAL ACETIC ACID
SODIO BENZOATO; SODIUM BENZOATE
TRIAMCINOLONA; TRIAMCINOLONE
CREMA BASE O/W; O/W BASE CREAM
POTASIO IODURO; POTASSIUM IODIDE
JARABE SIMPLE; SIMPLE SYRUP
NIPAGIN; NIPAGIN
ACEITE DE VASELINA; Petroleum jelly
ACEITE DE OLIVA; OLIVE OIL
COBRE SULFATO; COPPER SULFATE
BORICO ACIDO; BORIC ACID
TALCO; TALC
FENOL CRISTALIZADO; CRYSTALLIZED PHENOL
ALMIDON DE PATATA; POTATO STARCH
ACETONA; ACETONE
ACETILSALICILICO ACIDO; ACETYLSALICYLIC ACID
SALICILICO ACIDO; SALICYLIC ACID
ZINC SULFATO; ZINC SULFATE
ZINC OXIDO; ZINC OXIDE
UREA; UREA
VASELINA FILANTE; Petroleum jelly
LACTOSA (REACTIVO); LACTOSE (REAGENT)
ACETICO ACIDO (FIJADOR); ACETIC ACID (FIXATIVE)
BENZALCONIO CLORURO (DESINFECTANTE COLIRIO); BENZALKONIUM CHLORIDE (DISINFECTANT EYE DROPS)
SACARINA; SACCHARIN
EXCIPIENTE PARA FORMULACION MAGISTRAL; EXCIPIENT FOR MAGISTRAL FORMULATION
ACEITE OZONIZADO; OZONATED OIL
OTROS PRODUCTOS NO MEDICAMENTOSOS; OTHER NON-MEDICAL PRODUCTS
DIATRIZOICO ACIDO; DIATRIZOIC ACID
METRIZOICO ACIDO; METRIZOIC ACID
IODAMIDA; IODAMIDE
IOTALAMICO ACIDO; IOTHALAMIC ACID
IOXITALAMICO ACIDO; IOXYTALLAMIC ACID
IOGLICICO ACIDO; IOGLYCIC ACID
ACETRIZOICO ACIDO; ACETRIZOIC ACID
IOCARMICO ACIDO; Iocarmic Acid
METIODAL; METHODAL
DIODONE; DIODONE
CONTRASTES RADIOLOGICO NEFROTROPICO HIDROSOL.ALTA OSMOLARID. NE; RADIOLOGICAL CONTRASTS NEPHROTROPIC HYDROSOL.HIGH OSMOLARID. NE
METRIZAMIDA; METRIZAMIDE
IOHEXOL; IOHEXOL
IOXAGLICO ACIDO; IOXAGLICO ACID
IOPAMIDOL; IOPAMIDOL
IOPROMIDA; IOPROMIDE
IOTROLAN; IOTROLAN
IOVERSOL; IOVERSOL
IOPENTOL; IOPENTOL
IODIXANOL; IODIXANOL
IOMEPROL; IOMEPROL
IOBITRIDOL; IOBITRIDOL
IOXAGLICO ACIDO EN ASOCIACION; IOXAGLICO ACID IN ASSOCIATION
CONTRASTES RADIOLOGICOS NEFROTROPICOS HIDROSOL.BAJA OSMOLAR. NE;NEPHROPROTROPIC RADIOLOGICAL CONTRASTS HYDROSOL. LOW OSMOLAR. NE
IODOXAMICO ACIDO; IODOXAMIC ACID
IOTROXICO ACIDO; IOTROXIC ACID
IOGLICAMICO ACIDO; IOGLYCAMIC ACID
ADIPIODONA; Adipiodone
IOBENZAMICO ACIDO; Iobenzamic acid
IOPANOICO ACIDO; IOPANOIC ACID
IOCETAMICO ACIDO; IOCETAMIC ACID
IOPODATO SODICO; SODIUM IOPODATE
TIROPANOICO ACIDO; THYROPANOIC ACID
IOPODATO CALCICO; Calcium iodate
CONTRASTES RADIOLOGICOS HEPATOTROPICOS HIDROSOLUBLES NE; WATER-SOLUBLE HEPATOTROPIC RADIOLOGICAL CONTRASTS NE
ETIL ESTERES DE ACIDOS GRASOS IODADOS; ETHYL ESTERS OF IODINATED FATTY ACIDS
BARIO SULFATO CON AGENTES EN SUSPENSION; BARIUM SULFATE WITH SUSPENDING AGENTS
BARIO SULFATO SIN AGENTES EN SUSPENSION; BARIUM SULFATE WITHOUT SUSPENDING AGENTS
CONTRASTES RADIOLOGICOS CON SULFATO DE BARIO NE; Barium Sulfate NE Radiological Contrasts
GADOPENTETICO ACIDO; GADOPENTETIC ACID
GADOTERICO ACIDO; GADOTERIC ACID
GADODIAMIDA; GADODIAMIDE
GADOTERIDOL; GADOTERIDOL
MANGAFODIPIR; MANGAFODIPIR
GADOVERSETAMIDA; GADOVERSETAMIDE
CITRATO AMONICO FERRICO; Ferric ammonium citrate
GADOBENICO ACIDO; GADOBENIC ACID
GADOBUTROL; GADOBUTROL
GADOXETICO ACIDO; GADOXETIC ACID
GADOFOSVESET; GADOFOSVESET
CONTRASTES PARAMAGNETICOS (PARA RMN) NE; PARAMAGNETIC CONTRASTS (FOR MRI) NE
FERUMOXIL; FERUMOXIL
FERISTENE; FERISTENE
OXIDO FERRICO, NANOPARTICULAS; FERRIC OXIDE, NANOPARTICLES
FERUCARBOTRAN; FERUCARBOTRAN
ALBUMINA HUMANA EN MICROESFERAS; HUMAN ALBUMIN MICROSPHERES
MICROESFERAS DE FOSFOLIPIDOS; PHOSPHOLIPID MICROSPHERES
HEXAFLUORURO DE AZUFRE; SULFUR HEXAFLUORIDE
GALACTOSA+PALMITICO ACIDO; GALACTOSE+PALMITIC ACID
HEXAFLUORURO DE AZUFRE; SULFUR HEXAFLUORIDE
TECNECIO (99MTC) EXAMETAZINA;TECHNETIUM (99MTC) EXAMETAZINE
TECNECIO (99MTC) BICISATO; TECHNETIUM (99MTC) BICYCLE
IODO (123I) IOLOPRIDA; Iodine (123I) Iolopride
IODO (123I) IOFLUPANO; Iodine (123I) Ioflupane
INDIO (111IN) ACIDO PENTETICO; INDIUM (111IN) PENTETIC ACID
IODO (124I) 2-BETA-CARBOXIMETOXI-3-BETA-(4-IODOFENIL)-TROPAN; IODINE (124I) 2-BETA-CARBOXYMETHOXY-3-BETA-(4-IODOPHENYL)-TROPAN
FLUTEMETAMOL (18F); FLUTEMETAMOL (18F)
FLORBETAPIR (18F); FLORBETAPIR (18F)
FLORBETABEN (18F); FLORBETABEN (18F)
OTROS RADIOFARMACOS PARA SISTEMA NERVIOSO CENTRAL NE; OTHER RADIOPHARMACIES FOR CENTRAL NERVOUS SYSTEM NE
TECNECIO (99MTC) OXIDRONICO ACIDO; TECHNETIUM (99MTC) OXYDRONIC ACID
TECNECIO (99MTC) PIROFOSFATO; TECHNETIUM (99MTC) PYROPHOSPHATE
TECNECIO (99MTC) Ã¯Â¿Â½CIDO BUTEDRÃ¯Â¿Â½NICO; TECHNETIUM (99MTC) BUTHEDRONIC ACID
TECNECIO (99MTC) PENTETICO ACIDO; TECHNETIUM (99MTC) PENTETHIC ACID
TECNECIO (99MTC) SUCCIMERO; TECHNETIUM (99MTC) SUCCIMER
TECNECIO (99MTC) MERTIATIDA; TECHNETIUM (99MTC) MERTIATIDE
TECNECIO (99MTC), ETILENDICISTEINA DE; TECHNETIUM (99MTC), ETHYLENECYSTEINE
IODOHIPURATO (131I) SODIO; SODIUM IODOHIPURATE (131I)
CROMO (51CR) EDETATO; CHROMIUM (51CR) EDETATE
TECNECIO (99MTC) LIDOFENINA; TECHNETIUM (99MTC) LIDOPHENINE
TECNECIO (99MTC) MEBROFENINA; TECHNETIUM (99MTC) MEBROFENIN
TECNECIO (99MTC) NANOCOLOIDE; TECHNETIUM (99MTC) NANOCOLOID
TECNECIO (99MTC) RENIOSULFURO; TECHNETIUM (99MTC) RENIOSULFIDE
TECNECIO (99MTC) FITATO; TECHNETIUM (99MTC) PHYTATE
SELENIO (75SE) TAUROSELCOLICO ACIDO; SELENIUM (75SE) TAUROSELCOLIC ACID
TECNECIO (99MTC) TECNEGAS; TECHNETIUM (99MTC) TECNEGAS
TECNECIO (99MTC) MACROESFERAS ALBUMINA; TECHNETIUM (99MTC) ALBUMIN MACROSPHERES
TECNECIO (99MTC) PERTECNETATO; TECHNETIUM (99MTC) PERTECHNETATE
IODURO (123I) SODICO; SODIUM IODIDE (123I)
IODURO (124I) SODICO;SODIUM IODIDE (124I)
IODURO (124I) SODICO;SODIUM IODIDE (124I)
TECNECIO (99MTC) SESTAMIBI; TECHNETIUM (99MTC) SESTAMIBI
TECNECIO (99MTC) TETROFOSMINA; TECHNETIUM (99MTC) TETROPHOSMIN
TECNECIO (99MTC) CÃ¯Â¿Â½LULAS MARCADAS CON ESTAÃ¯Â¿Â½O; TECHNETIUM (99MTC) TIN-LABELED CELLS
TALIO (201TL) CLORURO; THALLIUM (201TL) CHLORIDE
INDIO (111IN) IMCIROMAB; INDIAN (111IN) IMCIROMAB
CROMO (51CR), CELULAS MARCADAS CON; CHROMIUM (51CR), CELLS MARKED WITH
TECNECIO (99MTC) ANTICUERPO ANTIGRANULOCITOS; TECHNETIUM (99MTC) ANTI-GRANULOCYTE ANTIBODY
TECNECIO (99MTC) SULESOMAB; TECHNETIUM (99MTC) SULESOMAB
INDIO (IN111) OXINATO, CELULAS MARCADAS CON; INDIUM (IN111) OXINATE, CELLS LABELED WITH
GALIO (67GA) CITRATO; GALLIUM (67GA) CITRATE
TECNECIO (99MTC) ANTICUERPO ANTIMELANOMA; TECHNETIUM (99MTC) ANTIMELANOMA ANTIBODY
TECNECIO (99MTC) DEPREOTIDA; TECHNETIUM (99MTC) DEPREOTIDE
TECNECIO (99MTC) ARCITUMOMAB; TECHNETIUM (99MTC) ARCITUMOMAB
TECNECIO (99TC) HYNIC-OCTREOTIDA; TECHNETIUM (99TC) HYNIC-OCTREOTIDE
TECNECIO (99M TC) TILMANOCEPT; TECHNETIUM (99M TC) TILMANOCEPT
INDIO (111IN) PENTETREOTIDO; INDIO (111IN) PENTETREOTIDE
INDIO (111IN) SATUMOMAB PENDETIDA; INDIO (111IN) SATUMOMAB PENDETIDA
INDIO (111IN) CLORURO; INDIUM (111IN) CHLORIDE
COMPUESTOS DE INDIO (111IN) (RADIOFARMACOS DETECCION TUMORES NE; INDIUM COMPOUNDS (111IN) (RADIOPHARMACIES FOR TUMOUR DETECTION NE)
IOBENGUANO (123I); IOBENGUANO (123I)
IOBENGUANO (131I); IOBENGUANO (131I)
FLUDESOXIGLUCOSA (18F); FLUDEOXYGLUCOSE (18F)
FLUORODOPA 18F; Fluorodopa 18F
FLUORURO (18F) SODICO; SODIUM FLUORIDE (18F)
FLUOROMETILCOLINA (18F); FLUOROMETHYLCHOLINE (18F)
FLUOROETILCOLINA (18F); FLUOROETHYLCHOLINE (18F)
GALIO (67GA) EDOTEOTRIDA; GALLIUM (67GA) EDOTEOTRIDE
IODO (I131) NORCOLESTEROL; IODINE (I131) NORCHOLESTEROL
PRODUCTOS RADIOFARMACEUTICOS PARA DIAGNOSTICO, VARIOS; RADIOPHARMACEUTICAL PRODUCTS FOR DIAGNOSIS, MISCELLANEOUS
PRODUCTOS FARMACEUTICOS PARA RADIODIAGNOSTICO, VARIOS NE; PHARMACEUTICAL PRODUCTS FOR RADIODIAGNOSIS, MISCELLANEOUS NE
ITRIO (90Y) CITRATO COLOIDAL; Yttrium (90Y) Colloidal Citrate
COMPUESTOS CON ITRIO (99 Y) NE; COMPOUNDS WITH YTTRIUM (99 Y) NE
ERBIO (169ER) CITRATO COLOIDAL;ERBIUM (169ER) COLLOIDAL CITRATE
RENIO (185RE) SULFURO COLOIDAL; RHENIUM (185RE) COLLOIDAL SULFIDE
ESTRONCIO (89SR) CLORURO; STRONTIUM (89SR) CHLORIDE
SAMARIO (153SM) LEXIDRONAM; SAMARIUM (153SM) LEXIDRONAM
SODIO IODURO(131I); SODIUM IODIDE(131I)
IOBENGUANO; IOBENGUANO
SODIO FOSFATO (32P); SODIUM PHOSPHATE (32P)
IBRITUMOMAB TIUXETAN (90Y); IBRITUMOMAB TIUXETAN (90Y)
RADIO 223 DICLORURO (223RA); Radium 223 Dichloride (223RA)
LUTECIO (177LU) OXODOTREOTIDA; Lutetium (177LU) Oxodotreotide
ITRIO 90 CLORURO; Yttrium 90 Chloride
VARIOS RADIOFARMACOS TERAPEUTICOS NE; VARIOUS THERAPEUTIC RADIOPHARMACIES NE
FORMULAS MAGISTRALES; MAGISTRAL FORMULAS
ALGODON ARROLLADO PURO; PURE WRAPPED COTTON
ALGODON ARROLLADO MEZCLA; COTTON ROLLED BLEND
ALGODON RAMA MEZCLA; COTTON BRANCH BLEND
ALGODON ZIG-ZAG PURO; PURE ZIG-ZAG COTTON
ALGODON ZIG-ZAG MEZCLA; COTTON ZIG-ZAG BLEND
APOSITO ESTERIL; STERILE DRESSING
GASA ALGODON HIDROFILO NO ESTERIL; NON-STERILE HYDROPHILIC COTTON GAUZE
GASA ESTERIL ALGODON HIDROFILO COMPRESAS; STERILE HYDROPHILIC COTTON GAUZE COMPRESSES
GASA ESTERIL ALGODON HIDROFILO TIRAS; STERILE HYDROPHILIC COTTON GAUZE STRIPS
VENDA DE GASA HIDROFILA; Hydrophilic Gauze Bandage
VENDA DE GASA SIN ORILLAR; UNEDGED GAUZE BANDAGE
VENDA DE GASA CAMBRIC HIDROFILA; HYDROPHILIC CAMBRIC GAUZE BANDAGE
VENDA DE GASA CAMBRIC SIN ORILLAR; Unedged Cambrian Gauze Bandage
VENDA DE MALLA HIDROFILA; Hydrophilic mesh bandage
VENDA DE MALLA CAMBRIC HIDROFILA; HYDROPHILIC CAMBRIC MESH BANDAGE
VENDA DE GASA ELASTICA; ELASTIC GAUZE BANDAGE
VENDA ELASTICA; ELASTIC BANDAGE
VENDA ELASTICA ADHESIVA; ADHESIVE ELASTIC BANDAGE
VENDA ELASTICA COHESIVA; Cohesive elastic bandage
VENDA ENYESADA;PLASTER BANDAGE
VENDA ADHESIVA; ADHESIVE BANDAGE
SISTEMA COMPRESION MULTICAPA; MULTILAYER COMPRESSION SYSTEM
ESPARADRAPO; TAPE
ESPARADRAPO HIPOALERGICO; Hypoallergenic adhesive tape
ESPARADRAPO HIPOALERGICO FLEXIBLE; FLEXIBLE HYPOALLERGENIC TAPE
REPUESTO ESPARADRAPO; REPLACEMENT TAPE
CANULA TRAQUEOTOMIA; TRACHEOSTOMY CANNULA
CANULA TRAQUEOTOMIA FENESTRADA; FENESTRATE TRACHEOSTOMY CANNULA
CANULA RECTAL; RECTAL CANNULA
CANULA VAGINAL; Vaginal cannula
CANULA LARINGUECTOMIA; Laryngectomy cannula
JUEGO CANULA RECTAL; RECTAL CANNULA SET
JUEGO CANULA RECTAL VAGINAL; Rectal Vaginal Cannula Set
JUEGO CANULA ACCES; ACCESS CANNULA SET
CANULA TRAQUEOTOMIA-LARINGEOTOMIA SILICONA; SILICONE TRACHEOTOMY-LARYNGEOTOMY CANNULA
CANULA TRAQUEOTOMIA-LARINGEOTOMIA SILICONA FENESTRADA; FENESTRED SILICONE TRACHEOTOMY-LARYNGEOTOMY CANNULA
FILTROS LARINGECTOMIA; LARYNGECTOMY FILTERS
APOSITOS ADHESIVOS FILTROS LARINGECTOMIA; ADHESIVE DRESSINGS FOR LARYNGECTOMY FILTERS
SONDA RECTAL; RECTAL PROBE
SONDA GASTRICA; GASTRIC TUBE
SONDA VESICAL; BLADDER CATHETER
SONDA VESICAL SILICONA; SILICONE BLADDER CATHETER
SONDA VESICAL NELATON; NELATON BLADDER CATHETER
SONDA VESICAL BAJA FRICCION; LOW FRICTION BLADDER CATHETER
SONDA VESICAL BAJA FRICCION CON BOLSA RECOG ORINA; LOW FRICTION BLADDER CATHETER WITH URINE COLLECTION BAG
SONDA INTESTINAL; INTESTINAL PROBE
AGRAFE; AGRAFE
DUCHA VAGINAL; VAGINAL DOUGH
AJUAR TOCOLOGICO; OBSERVATIVE EQUIPMENT
PARCHE OCULAR; EYE PATCH
RODILLERA; KNEE PAD
TOBILLERA; ANKLE BRACELET
MUSLERA; Thigh Guard
CODERA; elbow pad
MUÃ¯Â¿Â½EQUERA; Wristband
MUÃ¯Â¿Â½EQUERA METACARPIANA; METACARPAL WRISTBAND
MUÃ¯Â¿Â½EQUERA FERULA;Wristband Splint
BRAGUERO INGUINAL UNILATERAL; UNILATERAL INGUINAL TRUSS
BRAGUERO INGUINAL DERECHO; RIGHT INGUINAL TRUSS
BRAGUERO INGUINAL IZQUIERDO; LEFT INGUINAL TRUSS
BRAGUERO INGUINAL BILATERAL; BILATERAL INGUINAL TRUSS
BRAGUERO UMBILICAL; UMBILICAL TRUSS
SUSPENSORIO; SUSPENSORY
IRRIGADOR COMPLETO; COMPLETE IRRIGATOR
DEPOSITO IRRIGADOR; IRRIGATION TANK
TUBO IRRIGADOR; IRRIGATOR TUBE
ACCESORIO PARA IRRIGACION; IRRIGATION ACCESSORY
INHALADOR; INHALER
CAMARA PARA INHALACION; INHALATION CHAMBER
INSUFLADOR; INSUFFLATOR
BOLSAS RECOGIDA ORINA; URINE COLLECTION BAGS
BOLSAS RECOGIDA ORINA PARA PIERNA; URINE COLLECTION BAGS FOR LEG
BOLSAS RECOGIDA ORINA CON PINZA; URINE COLLECTION BAGS WITH CLIP
COLECTOR BOLSA RECOGIDA ORINA; URINE COLLECTION BAG COLLECTOR
COLECTOR BOLSA RECOGIDA ORINA CON TIRA; URINE COLLECTION BAG COLLECTOR WITH STRIP
COLECTOR BOLSA RECOGIDA ORINA CON APOSITO; URINE COLLECTION BAG COLLECTOR WITH DRESSING
COLECTOR BOLSA RECOGIDA ORINA AUTOADHESIVO; SELF-ADHESIVE URINE COLLECTION BAG COLLECTOR
APOSITOS COLECTOR BOLSA RECOGIDA ORINA; COLLECTOR DRESSINGS URINE COLLECTION BAG
COLECTOR BOLSA RECOG ORINA FEMENINO; FEMALE URINE COLLECTION BAG COLLECTOR
ABSORBENTE INCONTINENCIA ORINA; ABSORBENT URINARY INCONTINENCE
ABSORBENTE INCONTINENCIA ORINA DIA RECTANGULAR; ABSORBENT URINARY INCONTINENCE DAY RECTANGULAR
ABSORBENTE INCONTINENCIA ORINA DIA ANATOMICO; ABSORBENT URINE INCONTINENCE ANATOMICAL DAY
ABSORBENTE INCONTINENCIA ORINA NOCHE RECTANGULAR; ABSORBENT URINARY INCONTINENCE NIGHT RECTANGULAR
ABSORBENTE INCONTINENCIA ORINA NOCHE ANATOMICO; ABSORBENT URINARY INCONTINENCE NIGHT ANATOMIC
ABSORBENTE INCONTINENCIA ORINA SUPER-NOCHE RECTANGULAR;ABSORBENT URINARY INCONTINENCE SUPER-NIGHT RECTANGULAR
ABSORBENTE INCONTINENCIA ORINA SUPER-NOCHE ANATOMICO; ABSORBENT URINARY INCONTINENCE SUPER-NIGHT ANATOMIC
SISTEMA INCONTINENCIA ORINA OCLUSIVO HOMBRE; OCCLUSIVE URINARY INCONTINENCE SYSTEM FOR MEN
OBTURADOR ANAL; ANAL OBTURATOR
MEDIA CORTA COMPRESION LIGERA; LIGHT COMPRESSION SHORTS
MEDIA CORTA COMPRESION NORMAL; NORMAL COMPRESSION SHORT SOCKS
MEDIA CORTA (A-D) COMPRESION FUERTE; SHORT MEDIUM (AD) STRONG COMPRESSION
MEDIA CORTA (A-D) COMPRESION MUY FTE; SHORT MEDIUM (AD) VERY FTE COMPRESSION
MEDIAS TERAPEUTICOS COMPRESION NORMAL (TODAS); NORMAL COMPRESSION THERAPEUTIC STOCKINGS (ALL)
MEDIA LARGA (A-F) COMPRESION LIGERA; LONG SOCKS (AF) LIGHT COMPRESSION
MEDIA LARGA (A-F) COMPRESION NORMAL; LONG STOCKING (AF) NORMAL COMPRESSION
MEDIA LARGA (A-F) COMPRESION FUERTE; LONG MEDIUM (AF) STRONG COMPRESSION
MEDIA LARGA (A-F) COMPRESION MUY FUERTE; LONG MEDIUM (AF) VERY STRONG COMPRESSION
